City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tuktoyaktuk,75,CA,1557096360,85,69.44,-133.03,17.6,11.41
geraldton,20,CA,1557093600,39,49.72,-86.95,46.4,9.17
san salvo,39,IT,1557097970,87,42.04,14.73,50.0,5.82
ilinskiy,24,RU,1557097512,93,55.62,38.12,57.99,4.47
lesozavodsk,18,RU,1557098216,42,45.47,133.42,49.46,11.7
yaan,78,NG,1557098216,66,7.38,8.57,84.74,8.86
mareeba,20,AU,1557097819,64,-16.99,145.42,79.0,14.99
trincomalee,79,LK,1557098053,74,8.58,81.23,78.8,6.35
sullana,14,PE,1557098217,68,-4.89,-80.69,77.18,14.45
souillac,0,FR,1557098214,75,45.6,-0.6,44.6,7.87
upernavik,69,GL,1557098218,78,72.79,-56.15,35.06,8.52
kodiak,1,US,1557098182,41,39.95,-94.76,77.0,16.11
katsuura,75,JP,1557097785,72,33.93,134.5,69.01,3.36
atuona,22,PF,1557098219,74,-9.8,-139.03,82.94,14.65
matara,14,PE,1557098219,85,-13.74,-72.9,39.56,4.74
klaksvik,54,FO,1557096600,51,62.23,-6.59,37.4,12.75
vardo,90,US,1557098217,87,39.62,-77.74,62.01,11.41
saldanha,58,PT,1557098221,47,41.42,-6.55,53.24,4.03
kloulklubed,75,PW,1557096600,74,7.04,134.26,84.2,8.05
tautira,20,PF,1557097985,66,-17.73,-149.15,87.01,10.29
severo-kurilsk,0,RU,1557098221,81,50.68,156.12,36.68,3.62
nassau,0,DE,1557098187,64,51.17,13.51,39.99,2.24
broken hill,0,AU,1557093600,81,-31.97,141.45,44.6,3.36
itoman,75,JP,1557097988,64,26.12,127.67,75.0,3.36
abbeville,0,FR,1557098197,93,50.11,1.83,41.0,3.36
mandera,40,ET,1557098223,66,3.94,41.86,82.76,9.4
port lincoln,0,AU,1557098223,72,-34.72,135.86,61.52,13.8
nikolskoye,90,RU,1557098175,87,59.7,30.79,37.0,2.24
mbandaka,100,CD,1557098223,98,0.05,18.26,71.6,2.93
ancud,90,CL,1557093600,93,-41.87,-73.83,50.0,2.24
samarai,34,PG,1557098224,77,-10.62,150.67,81.14,4.0
mahina,54,ML,1557098224,18,13.76,-10.85,102.02,1.34
whitehorse,75,CA,1557098125,52,60.72,-135.06,46.99,10.29
interlaken,0,CH,1557098210,56,46.69,7.86,41.0,4.7
awjilah,100,LY,1557098224,49,29.14,21.3,69.08,17.0
shingu,75,JP,1557096000,77,33.72,135.99,66.2,3.36
lagos,20,NG,1557093600,83,6.46,3.39,84.2,2.24
saint-pierre,0,FR,1557098179,86,48.95,4.24,41.0,11.41
matamoros,1,US,1557098188,69,25.87,-97.51,87.8,16.11
ponta do sol,100,BR,1557098226,95,-20.63,-46.0,66.92,2.8
udachnyy,90,RU,1557095400,92,66.42,112.4,24.8,4.47
dingle,25,PH,1557098226,54,11.0,122.67,86.18,4.88
calabozo,100,VE,1557098227,38,8.92,-67.43,92.66,1.99
kavieng,100,PG,1557098227,80,-2.57,150.8,82.94,9.71
hornepayne,71,CA,1557098227,42,49.22,-84.78,46.4,7.74
cidreira,95,BR,1557098227,89,-30.17,-50.22,74.66,3.31
bambous virieux,40,MU,1557098039,78,-20.34,57.76,78.8,11.41
faya,20,SA,1557093600,33,18.39,42.45,73.4,6.93
victoria,75,BN,1557095400,88,5.28,115.24,80.6,2.24
bernalillo,20,US,1557098217,12,35.3,-106.55,82.99,16.11
wilmington,90,US,1557097839,93,39.75,-75.55,55.4,8.05
chuy,100,UY,1557098229,97,-33.69,-53.46,69.62,7.67
puerto escondido,40,MX,1557092700,70,15.86,-97.07,86.0,9.17
touros,69,BR,1557098230,74,-5.2,-35.46,83.84,19.91
qaqortoq,48,GL,1557098230,56,60.72,-46.03,44.6,8.05
avarua,100,CK,1557095400,69,-21.21,-159.78,80.6,12.75
tiarei,20,PF,1557097985,66,-17.53,-149.33,87.01,10.29
east london,100,ZA,1557098231,94,-33.02,27.91,63.14,1.5
hilo,75,US,1557098017,64,19.71,-155.08,75.99,19.46
cherskiy,0,RU,1557098232,84,68.75,161.3,28.76,4.7
sarankhola,0,BD,1557098232,91,22.31,89.79,80.06,5.79
orcopampa,91,PE,1557098232,84,-15.27,-72.34,38.48,4.09
pisco,0,PE,1557098149,30,-13.71,-76.2,71.6,4.7
ilulissat,0,GL,1557096600,37,69.22,-51.1,53.6,19.46
douglas,1,US,1557098042,8,31.34,-109.55,87.8,14.99
chara,20,GR,1557093000,87,39.42,22.43,59.0,3.65
zyryanka,76,RU,1557098234,100,65.73,150.89,36.86,14.72
lasa,0,CY,1557098160,67,34.92,32.53,69.8,6.93
mporokoso,58,ZM,1557098234,95,-9.37,30.12,62.06,8.01
mnogovershinnyy,100,RU,1557098235,89,53.94,139.92,32.9,3.96
bireun,100,ID,1557098235,79,5.2,96.7,70.7,5.39
northam,0,GB,1557098226,80,51.04,-4.21,44.01,4.7
littlehampton,0,GB,1557098225,61,50.81,-0.54,48.99,4.7
lompoc,90,US,1557098212,63,34.64,-120.46,64.4,10.29
port pirie,0,AU,1557093600,100,-33.18,138.01,42.8,5.82
muisne,75,EC,1557093600,83,0.61,-80.02,84.2,12.75
barra patuca,100,HN,1557098237,81,15.8,-84.28,82.4,20.89
butaritari,97,KI,1557098238,78,3.07,172.79,84.56,12.46
saint-joseph,90,FR,1557098195,87,43.56,6.97,53.6,4.7
maningrida,0,AU,1557098238,70,-12.05,134.23,81.68,13.91
tasiilaq,83,GL,1557096600,69,65.61,-37.64,37.4,2.21
bluff,0,AU,1557098239,37,-23.58,149.07,66.92,11.88
alta floresta,29,BR,1557098239,80,-9.87,-56.08,77.18,3.18
shakawe,0,BW,1557098239,51,-18.36,21.84,66.56,5.61
ulladulla,20,AU,1557098133,66,-35.36,150.48,59.0,12.75
cabinda,100,AO,1557098241,88,-5.56,12.19,81.14,10.18
san cristobal,75,EC,1557098209,71,-0.39,-78.55,77.0,12.75
goya,64,AR,1557098242,90,-29.14,-59.27,75.38,2.48
ukiah,1,US,1557098188,36,39.15,-123.21,75.2,4.7
belen,75,TR,1557098166,63,36.49,36.19,69.01,4.7
dondo,0,MZ,1557098242,96,-19.62,34.74,66.02,2.15
nimaj,0,IN,1557098243,20,26.15,74.0,82.94,11.5
comodoro rivadavia,0,AR,1557093600,62,-45.87,-67.48,55.4,3.36
gigmoto,82,PH,1557098244,74,13.78,124.39,83.3,6.89
opuwo,0,NA,1557098245,34,-18.06,13.84,64.76,1.54
guerrero negro,0,MX,1557098245,77,27.97,-114.04,62.96,12.97
narsaq,48,GL,1557098245,56,60.91,-46.05,44.6,8.05
torbay,75,CA,1557098192,70,47.66,-52.73,44.6,10.29
beringovskiy,81,RU,1557098246,83,63.05,179.32,28.04,7.7
koygorodok,0,RU,1557098246,95,60.44,51.01,45.5,5.61
husavik,73,CA,1557098191,61,50.56,-96.99,37.99,5.01
paris,0,FR,1557098019,75,48.86,2.35,43.0,2.24
port keats,20,AU,1557098246,43,-14.25,129.55,78.8,18.34
innisfail,90,CA,1557097881,60,52.02,-113.95,41.0,13.87
mweka,99,CD,1557098247,92,-4.85,21.56,72.86,1.43
richards bay,0,ZA,1557098247,77,-28.77,32.06,75.74,16.04
provideniya,90,RU,1557095400,69,64.42,-173.23,33.8,8.95
bogorodskoye,100,RU,1557098247,92,52.37,140.44,35.06,2.98
solwezi,73,ZM,1557098248,95,-12.18,26.4,61.52,5.08
shushenskoye,0,RU,1557095400,40,53.33,91.95,32.0,3.74
jutai,99,BR,1557098248,97,-1.71,-47.89,75.38,2.19
voh,97,NC,1557098248,68,-20.95,164.69,79.88,7.11
pitea,20,SE,1557097569,86,65.32,21.48,33.01,2.95
hobart,75,AU,1557098054,57,-42.88,147.33,52.0,13.87
mecca,0,SA,1557098249,32,21.43,39.83,89.96,1.99
borogontsy,100,RU,1557098249,81,62.67,131.17,32.0,6.29
arlit,0,NE,1557098250,13,18.74,7.39,90.14,8.93
bridlington,75,GB,1557098219,81,54.08,-0.19,45.0,5.82
villa maria,75,CO,1557093600,49,4.5,-74.09,80.6,11.41
ibotirama,80,BR,1557098251,77,-12.18,-43.22,73.94,3.89
bethel,90,US,1557096780,49,60.79,-161.76,50.0,13.87
college,40,US,1557098193,29,64.86,-147.8,50.0,4.7
sitka,52,US,1557098252,61,37.17,-99.65,72.68,20.4
yuli,59,NG,1557098252,35,10.52,9.86,87.8,4.43
sindor,29,RU,1557098253,92,62.87,51.9,40.64,5.84
taoudenni,0,ML,1557098253,8,22.68,-3.98,85.82,6.89
kruisfontein,100,ZA,1557098254,94,-34.0,24.73,62.24,5.64
searcy,1,US,1557098215,47,35.25,-91.74,77.0,8.05
mandalgovi,41,MN,1557098256,21,45.76,106.27,44.24,6.49
shelburne,1,CA,1557098249,41,44.08,-80.2,64.99,9.17
chokurdakh,21,RU,1557098257,89,70.62,147.9,28.4,15.1
aksha,22,RU,1557098257,26,50.28,113.29,45.86,7.29
port elizabeth,90,US,1557097988,100,39.31,-74.98,55.4,12.75
dikson,100,RU,1557098258,90,73.51,80.55,16.7,18.92
akdepe,0,TM,1557095400,14,42.05,59.39,71.6,4.7
hutchinson,20,US,1557098183,69,38.06,-97.93,73.99,16.11
mahebourg,40,MU,1557098039,78,-20.41,57.7,78.8,11.41
maceio,0,BR,1557097200,78,-9.67,-35.74,75.2,2.24
yakeshi,15,CN,1557098259,32,49.28,120.73,48.56,14.47
khatanga,100,RU,1557098223,93,71.98,102.47,17.42,13.62
sokoni,7,CD,1557098260,83,-12.89,28.78,60.62,5.66
eirunepe,88,BR,1557098260,67,-6.66,-69.87,81.32,0.43
broome,99,GB,1557098227,70,52.47,1.45,48.0,1.12
lagoa,0,PT,1557098153,77,37.14,-8.45,60.8,8.05
lunglei,22,IN,1557098261,89,22.89,92.75,73.58,1.79
santa rosa,96,AR,1557098264,38,-36.62,-64.29,62.78,6.96
boende,100,CD,1557098264,94,-0.28,20.88,73.58,1.59
masallatah,0,LY,1557098265,60,32.62,14.0,60.08,7.83
loikaw,21,MM,1557098265,90,19.67,97.21,68.0,3.02
piacabucu,21,BR,1557098266,70,-10.41,-36.43,78.26,4.97
bukoba,80,TZ,1557098266,98,-1.33,31.81,63.5,4.27
kenai,90,US,1557098224,49,60.55,-151.26,48.2,11.41
muroto,75,JP,1557093600,77,33.37,134.14,64.4,6.93
havelock,40,US,1557098217,74,34.88,-76.9,79.0,12.75
mahibadhoo,3,MV,1557098268,66,3.78,72.97,84.2,1.5
pacific grove,75,US,1557098228,55,36.62,-121.92,64.4,9.17
merauke,100,ID,1557098269,76,-8.49,140.4,82.58,12.48
henties bay,0,NA,1557097333,95,-22.12,14.28,55.0,1.01
skjervoy,64,NO,1557098269,73,70.03,20.97,33.62,4.45
horsham,0,AU,1557098269,69,-36.71,142.2,55.94,4.99
bollnas,90,SE,1557097309,68,61.35,16.39,37.0,1.97
merritt,1,CA,1557097200,23,50.11,-120.79,75.2,5.82
magistralnyy,100,RU,1557098270,63,56.17,107.45,44.78,7.58
hami,97,CN,1557098270,44,42.84,93.51,58.64,8.05
la mana,75,EC,1557098209,71,-0.93,-79.22,55.4,12.75
bredasdorp,54,ZA,1557098176,82,-34.53,20.04,64.4,11.41
viedma,0,AR,1557098271,55,-40.81,-62.99,57.74,7.4
san quintin,88,PH,1557098271,62,17.54,120.52,83.66,5.99
fare,43,PF,1557098272,75,-16.7,-151.02,82.22,16.8
vagur,92,FO,1557098272,66,61.47,-6.81,40.82,20.29
zabaykalsk,0,CN,1557098273,29,49.64,117.33,49.28,10.89
bayir,0,TR,1557096600,71,37.27,28.22,55.4,5.82
batagay,57,RU,1557098273,45,67.65,134.64,41.9,7.11
vila franca do campo,20,PT,1557098271,72,37.72,-25.43,60.8,6.93
ambunti,99,PG,1557098273,70,-4.22,142.82,84.38,2.46
hasaki,75,JP,1557098090,72,35.73,140.83,68.0,9.17
sao sebastiao do paraiso,100,BR,1557098181,96,-20.92,-46.99,66.38,4.45
pedasi,100,PA,1557098274,74,7.53,-80.03,82.4,3.24
olutanga,17,PH,1557098274,71,7.31,122.85,82.58,2.89
ribeira grande,55,PT,1557098275,72,38.52,-28.7,61.52,14.52
port hedland,0,AU,1557095400,32,-20.31,118.58,69.8,11.41
conde,2,BR,1557098275,89,-11.81,-37.61,71.24,1.61
cabedelo,20,BR,1557093600,78,-6.97,-34.84,78.8,5.82
amarante do maranhao,39,BR,1557098276,75,-5.57,-46.74,74.84,3.71
belaya gora,96,RU,1557098276,100,68.54,146.19,34.52,11.16
san luis,90,AR,1557098150,62,-33.3,-66.34,62.78,12.35
sungairaya,97,ID,1557098278,69,0.7,108.9,85.28,9.08
port hardy,20,CA,1557093600,54,50.7,-127.42,59.0,21.92
nome,40,US,1557098272,45,30.04,-94.42,84.99,4.7
bima,100,ID,1557098278,92,-8.45,118.73,76.28,2.91
kodinsk,67,RU,1557098279,69,58.6,99.18,51.26,9.1
la ronge,75,CA,1557093600,32,55.1,-105.3,41.0,10.29
barcelos,90,PT,1557098225,87,41.53,-8.62,57.2,8.05
esik,20,KZ,1557095400,86,43.36,77.47,39.2,4.47
tungor,97,RU,1557098280,77,53.39,142.95,37.58,14.79
altamont,90,CA,1557097830,39,49.4,-98.5,44.6,13.87
teeli,41,RU,1557098281,32,51.01,90.2,43.7,2.13
grand gaube,40,MU,1557098039,78,-20.01,57.66,78.8,11.41
nyanguge,20,TZ,1557093600,88,-2.54,33.2,71.6,11.3
shyryayeve,28,UA,1557098282,88,47.38,30.2,54.32,12.19
te anau,93,NZ,1557098283,72,-45.41,167.72,57.2,1.36
tazmalt,20,DZ,1557093600,87,36.39,4.4,51.8,4.7
adrar,0,DZ,1557093600,16,27.87,-0.29,78.8,10.29
carballo,0,ES,1557098105,76,43.21,-8.69,57.0,2.24
ust-koksa,55,RU,1557098285,78,50.27,85.62,33.44,2.82
fengrun,0,CN,1557098285,25,39.83,118.12,59.0,4.61
berlevag,40,NO,1557094800,92,70.86,29.09,24.8,3.36
aksu,0,KZ,1557095400,70,52.04,76.93,48.2,2.24
saint-philippe,1,CA,1557098238,34,45.36,-73.48,69.01,3.36
jasidih,0,IN,1557098286,25,24.51,86.65,82.58,7.47
walvis bay,0,NA,1557097333,87,-22.95,14.51,55.0,3.36
puerto cabezas,40,NI,1557093600,79,14.04,-83.39,86.0,9.17
argelia,40,CO,1557097200,83,4.73,-76.12,86.0,3.36
bathsheba,40,BB,1557093600,69,13.22,-59.52,80.6,19.46
mandan,75,US,1557098188,60,46.83,-100.89,45.0,10.29
batemans bay,1,AU,1557098109,65,-35.71,150.18,61.0,4.0
parkersburg,90,US,1557098275,72,39.27,-81.55,66.0,5.82
mercedes,85,UY,1557098289,94,-33.25,-58.03,68.72,12.53
marsh harbour,21,BS,1557098078,83,26.54,-77.06,78.98,10.07
mantua,75,IT,1557098284,87,45.16,10.79,48.2,4.7
kurilsk,58,RU,1557098290,62,45.23,147.88,45.14,13.98
xining,93,CN,1557098290,86,36.62,101.77,39.2,5.95
jablanica,90,BA,1557097200,99,43.66,17.76,51.8,5.82
yulara,0,AU,1557093600,65,-25.24,130.99,44.6,5.82
caravelas,88,BR,1557098291,83,-17.73,-39.27,77.72,5.23
rosarito,40,CO,1557097200,83,4.91,-75.23,86.0,3.36
saint anthony,1,US,1557098212,18,43.97,-111.68,69.8,12.75
augusto correa,100,BR,1557098291,97,-1.02,-46.63,75.02,1.86
puerto palomas,1,US,1557093180,6,31.78,-107.63,87.8,12.75
qasigiannguit,2,GL,1557096600,37,68.82,-51.19,53.6,19.46
nidzica,86,PL,1557098292,74,53.36,20.43,32.54,3.4
auki,74,NG,1557098288,36,12.18,6.51,92.66,8.99
manutuke,53,NZ,1557097805,80,-38.68,177.91,60.01,3.0
gizo,0,IL,1557098251,64,31.8,34.94,73.0,5.82
nizhniy odes,37,RU,1557098277,88,63.64,54.86,37.76,7.54
vihari,0,PK,1557098293,15,30.03,72.35,83.48,5.37
inhambane,0,MZ,1557098294,95,-23.87,35.38,65.48,3.22
straumen,75,NO,1557098116,83,63.87,11.3,37.0,5.82
acapulco,75,MX,1557092640,69,16.86,-99.88,82.4,8.05
andros town,75,BS,1557098195,78,24.73,-77.79,80.6,17.22
irbeyskoye,10,RU,1557098295,47,55.64,95.45,52.16,7.94
laramie,20,US,1557098189,18,41.31,-105.59,66.2,5.82
fukue,75,JP,1557098127,72,35.03,136.69,73.99,8.05
daru,100,SL,1557098296,93,7.99,-10.85,77.0,2.28
fortuna,0,ES,1557098252,72,38.18,-1.13,61.0,3.36
labuan,75,BN,1557095400,88,5.28,115.24,80.6,2.24
miles city,90,US,1557098245,93,46.41,-105.84,37.4,12.75
point fortin,20,TT,1557098199,74,10.16,-61.68,82.4,14.99
nioro,9,GM,1557098299,24,13.79,-15.05,86.9,13.44
halifax,75,CA,1557097964,62,44.65,-63.58,55.4,9.17
rocha,100,UY,1557098299,98,-34.48,-54.34,66.2,5.75
tyulgan,100,RU,1557098300,56,52.34,56.17,56.66,10.13
ambulu,62,ID,1557098300,80,-8.35,113.61,79.88,5.32
ust-kuyga,16,RU,1557098301,95,70.0,135.55,32.54,3.89
avera,1,US,1557098274,65,33.19,-82.53,84.2,8.05
sao gabriel da cachoeira,78,BR,1557098301,97,-0.13,-67.09,76.1,0.92
bom jesus,40,BR,1557097200,78,-5.99,-35.58,78.8,8.05
fuling,100,CN,1557098302,91,29.71,107.39,64.4,6.31
lesnoy,0,RU,1557098303,96,59.78,52.13,44.96,5.1
alamosa,75,US,1557096900,17,37.47,-105.87,62.6,21.92
bourail,100,NC,1557098304,61,-21.57,165.5,78.26,8.97
kutum,49,SD,1557098304,10,14.2,24.66,78.44,5.01
texarkana,75,US,1557098136,69,33.44,-94.04,78.01,5.82
wittingen,20,DE,1557098305,80,52.73,10.74,39.99,1.12
gushi,100,CN,1557098306,56,32.17,115.65,60.98,16.96
wenling,63,CN,1557098128,87,28.38,121.38,71.01,1.01
rincon,40,US,1557098008,78,32.3,-81.24,82.4,13.87
turukhansk,29,RU,1557098308,87,65.8,87.96,30.92,16.91
wanning,75,AT,1557098297,86,48.64,13.53,41.0,2.24
caxito,0,BR,1557093600,78,-22.65,-42.51,78.8,9.17
vestmannaeyjar,20,IS,1557098309,83,63.44,-20.27,45.14,11.59
vila velha,20,BR,1557098290,78,-3.71,-38.6,82.99,10.29
manaure,75,CO,1557093600,49,11.78,-72.45,91.4,11.41
cotonou,40,BJ,1557093600,83,6.37,2.43,84.2,9.17
kosice,0,CZ,1557098208,70,50.18,15.53,44.6,3.36
mangaratiba,0,BR,1557097837,78,-22.96,-44.04,82.4,3.36
san patricio,42,PY,1557098310,94,-26.98,-56.83,73.4,2.91
grindavik,20,IS,1557097478,80,63.84,-22.43,48.0,9.17
murshidabad,0,IN,1557098311,86,24.17,88.27,81.5,8.79
kagoro,90,NG,1557098311,75,9.6,8.38,79.52,2.42
bulgan,100,MN,1557098311,33,48.81,103.53,43.52,1.81
malkapur,0,IN,1557098312,36,20.89,76.2,86.18,11.88
cockburn town,77,TC,1557098069,80,21.46,-71.14,79.34,19.48
sobolevo,100,RU,1557098312,94,54.43,31.9,52.16,5.35
almeirim,75,PT,1557097841,82,39.21,-8.63,57.99,9.17
codrington,0,AU,1557097235,87,-28.95,153.24,64.0,6.93
morant bay,20,JM,1557093600,58,17.88,-76.41,84.2,17.22
wichita falls,40,US,1557098108,57,33.91,-98.49,80.6,13.87
payo,93,ID,1557098313,79,-3.75,103.64,70.16,3.31
lukovetskiy,20,RU,1557095400,92,64.29,41.92,30.2,1.07
fort-shevchenko,62,KZ,1557098314,92,44.51,50.26,53.96,15.23
ossora,73,RU,1557098314,39,59.24,163.07,43.88,7.67
botwood,90,CA,1557098289,93,49.14,-55.34,41.0,8.05
soligalich,31,RU,1557098314,95,59.08,42.29,51.98,8.25
port blair,100,IN,1557098315,80,11.67,92.75,84.02,14.32
bayangol,1,MN,1557098315,33,48.91,106.09,46.4,5.01
aykhal,90,RU,1557095400,92,65.95,111.51,24.8,4.47
wattegama,58,LK,1557098316,78,7.35,80.68,71.6,3.18
male,68,UA,1557098171,86,50.74,33.7,52.88,9.04
balkhash,0,KZ,1557098317,39,46.84,74.98,54.14,6.91
howard springs,0,AU,1557098240,61,-12.5,131.05,79.0,12.75
mar del plata,18,AR,1557098289,55,-46.43,-67.52,51.98,9.75
ahipara,100,NZ,1557098236,100,-35.17,173.16,68.0,9.26
kalabo,51,ZM,1557098318,45,-15.0,22.67,72.32,7.87
puerto del rosario,90,ES,1557097200,68,28.5,-13.86,66.2,12.75
goderich,0,CA,1557098251,70,43.74,-81.71,63.0,1.99
clarence town,75,AU,1557098177,82,-32.59,151.78,62.01,9.17
uromi,100,NG,1557098319,89,6.71,6.33,77.9,3.31
flinders,20,AU,1557098234,66,-34.58,150.85,64.0,12.75
ulaangom,86,MN,1557098319,52,49.98,92.07,50.0,4.38
san policarpo,2,PH,1557098319,70,12.18,125.51,84.02,4.92
fairbanks,40,US,1557097971,29,64.84,-147.72,51.01,4.7
pilar,90,AR,1557098310,93,-34.46,-58.91,66.2,12.75
antsohihy,51,MG,1557098320,67,-14.88,47.99,79.34,20.38
grand-lahou,65,CI,1557098320,94,5.24,-5.0,77.72,2.82
gwadar,0,PK,1557098321,66,25.12,62.33,84.2,12.71
komsomolskiy,71,RU,1557098299,82,67.55,63.78,30.38,14.94
russell,90,AR,1557097200,82,-33.01,-68.8,57.2,6.93
maua,59,KE,1557098321,95,0.23,37.94,51.8,5.35
pangkalanbuun,56,ID,1557098322,82,-2.68,111.62,80.78,0.85
mount gambier,90,AU,1557093600,93,-37.83,140.78,50.0,4.7
nador,0,MA,1557097200,72,35.17,-2.93,64.4,1.12
french harbor,0,HN,1557097200,74,16.35,-86.43,86.0,20.8
shache,0,CN,1557098181,96,38.42,77.24,61.0,6.6
talara,0,PE,1557093600,290,-4.58,-81.27,62.6,16.11
fort nelson,75,CA,1557093600,45,58.81,-122.69,44.6,3.36
porbandar,0,IN,1557098324,83,21.64,69.61,80.78,8.86
rio grande,90,BR,1557092700,100,-32.03,-52.1,71.6,4.7
haapiti,20,PF,1557097985,66,-17.57,-149.87,87.01,10.29
